Selected	index	ID	LINcode (N. gonorrhoeae cgMLST v2)	LINcode (N. gonorrhoeae cgMLST v2)[10]	LINcode (N. gonorrhoeae cgMLST v2)[1]	LINcode (N. gonorrhoeae cgMLST v2)[2]	LINcode (N. gonorrhoeae cgMLST v2)[3]	LINcode (N. gonorrhoeae cgMLST v2)[4]	LINcode (N. gonorrhoeae cgMLST v2)[5]	LINcode (N. gonorrhoeae cgMLST v2)[6]	LINcode (N. gonorrhoeae cgMLST v2)[7]	LINcode (N. gonorrhoeae cgMLST v2)[8]	LINcode (N. gonorrhoeae cgMLST v2)[9]	country	isolate	year
	11	31976	0_2_7_2_0_0_0_0_0_0_0	0_2_7_2_0_0_0_0_0_0	0	0_2	0_2_7	0_2_7_2	0_2_7_2_0	0_2_7_2_0_0	0_2_7_2_0_0_0	0_2_7_2_0_0_0_0	0_2_7_2_0_0_0_0_0	Morocco	989000418	1998
	12	31977	0_0_4_0_0_0_0_0_0_0_0	0_0_4_0_0_0_0_0_0_0	0	0_0	0_0_4	0_0_4_0	0_0_4_0_0	0_0_4_0_0_0	0_0_4_0_0_0_0	0_0_4_0_0_0_0_0	0_0_4_0_0_0_0_0_0	Morocco	989000421	1998
	13	31978	1_4_0_0_0_0_0_0_0_0_0	1_4_0_0_0_0_0_0_0_0	1	1_4	1_4_0	1_4_0_0	1_4_0_0_0	1_4_0_0_0_0	1_4_0_0_0_0_0	1_4_0_0_0_0_0_0	1_4_0_0_0_0_0_0_0	Tanzania	989000016	1998
	14	31979	1_1_32_0_0_0_0_0_0_0_0	1_1_32_0_0_0_0_0_0_0	1	1_1	1_1_32	1_1_32_0	1_1_32_0_0	1_1_32_0_0_0	1_1_32_0_0_0_0	1_1_32_0_0_0_0_0	1_1_32_0_0_0_0_0_0	Uganda	999000083	1999
	15	31980	1_1_22_0_0_0_0_0_0_1_0	1_1_22_0_0_0_0_0_0_1	1	1_1	1_1_22	1_1_22_0	1_1_22_0_0	1_1_22_0_0_0	1_1_22_0_0_0_0	1_1_22_0_0_0_0_0	1_1_22_0_0_0_0_0_0	Angola	999000018	1999
	16	31981	1_1_22_0_0_0_0_0_1_0_0	1_1_22_0_0_0_0_0_1_0	1	1_1	1_1_22	1_1_22_0	1_1_22_0_0	1_1_22_0_0_0	1_1_22_0_0_0_0	1_1_22_0_0_0_0_0	1_1_22_0_0_0_0_0_1	The Gambia	999000055	1999
	17	31982	0_2_56_0_0_0_0_0_0_0_0	0_2_56_0_0_0_0_0_0_0	0	0_2	0_2_56	0_2_56_0	0_2_56_0_0	0_2_56_0_0_0	0_2_56_0_0_0_0	0_2_56_0_0_0_0_0	0_2_56_0_0_0_0_0_0	Guinea	999000051	1999
	18	31983	5_1_0_0_0_0_0_0_0_0_0	5_1_0_0_0_0_0_0_0_0	5	5_1	5_1_0	5_1_0_0	5_1_0_0_0	5_1_0_0_0_0	5_1_0_0_0_0_0	5_1_0_0_0_0_0_0	5_1_0_0_0_0_0_0_0	Morocco	999000073	1999
	19	31984	1_1_17_0_1_0_0_0_1_0_0	1_1_17_0_1_0_0_0_1_0	1	1_1	1_1_17	1_1_17_0	1_1_17_0_1	1_1_17_0_1_0	1_1_17_0_1_0_0	1_1_17_0_1_0_0_0	1_1_17_0_1_0_0_0_1	Guinea-Bissau	08_590_00123	2007
	20	31985	1_1_17_0_2_0_0_0_0_0_0	1_1_17_0_2_0_0_0_0_0	1	1_1	1_1_17	1_1_17_0	1_1_17_0_2	1_1_17_0_2_0	1_1_17_0_2_0_0	1_1_17_0_2_0_0_0	1_1_17_0_2_0_0_0_0	Guinea-Bissau	08_590_125	2007
	21	31986	0_12_5_0_1_0_0_0_0_0_0	0_12_5_0_1_0_0_0_0_0	0	0_12	0_12_5	0_12_5_0	0_12_5_0_1	0_12_5_0_1_0	0_12_5_0_1_0_0	0_12_5_0_1_0_0_0	0_12_5_0_1_0_0_0_0	Guinea-Bissau	08_590_00126	2007
	22	31987	1_1_17_0_1_0_0_1_0_0_0	1_1_17_0_1_0_0_1_0_0	1	1_1	1_1_17	1_1_17_0	1_1_17_0_1	1_1_17_0_1_0	1_1_17_0_1_0_0	1_1_17_0_1_0_0_1	1_1_17_0_1_0_0_1_0	Guinea-Bissau	08_590_00127	2007
	23	31988	1_1_38_0_1_0_0_0_0_0_0	1_1_38_0_1_0_0_0_0_0	1	1_1	1_1_38	1_1_38_0	1_1_38_0_1	1_1_38_0_1_0	1_1_38_0_1_0_0	1_1_38_0_1_0_0_0	1_1_38_0_1_0_0_0_0	Guinea-Bissau	08_590_00128	2007
	24	31989	1_1_17_0_1_0_0_0_0_0_0	1_1_17_0_1_0_0_0_0_0	1	1_1	1_1_17	1_1_17_0	1_1_17_0_1	1_1_17_0_1_0	1_1_17_0_1_0_0	1_1_17_0_1_0_0_0	1_1_17_0_1_0_0_0_0	Guinea-Bissau	08_590_00129	2007
	25	31990	1_1_17_0_0_0_0_0_0_0_0	1_1_17_0_0_0_0_0_0_0	1	1_1	1_1_17	1_1_17_0	1_1_17_0_0	1_1_17_0_0_0	1_1_17_0_0_0_0	1_1_17_0_0_0_0_0	1_1_17_0_0_0_0_0_0	Guinea-Bissau	08_590_00130	2007
	26	31991	15_0_0_0_0_0_0_0_0_0_0	15_0_0_0_0_0_0_0_0_0	15	15_0	15_0_0	15_0_0_0	15_0_0_0_0	15_0_0_0_0_0	15_0_0_0_0_0_0	15_0_0_0_0_0_0_0	15_0_0_0_0_0_0_0_0	Guinea-Bissau	08_590_00131	2007
	27	31992	1_1_38_0_0_1_0_0_0_0_0	1_1_38_0_0_1_0_0_0_0	1	1_1	1_1_38	1_1_38_0	1_1_38_0_0	1_1_38_0_0_1	1_1_38_0_0_1_0	1_1_38_0_0_1_0_0	1_1_38_0_0_1_0_0_0	Guinea-Bissau	08_590_00132	2007
	28	31993	1_1_17_0_1_1_0_0_0_0_0	1_1_17_0_1_1_0_0_0_0	1	1_1	1_1_17	1_1_17_0	1_1_17_0_1	1_1_17_0_1_1	1_1_17_0_1_1_0	1_1_17_0_1_1_0_0	1_1_17_0_1_1_0_0_0	Guinea-Bissau	08_590_00133	2007
	29	31994	1_1_38_0_0_1_0_0_0_0_0	1_1_38_0_0_1_0_0_0_0	1	1_1	1_1_38	1_1_38_0	1_1_38_0_0	1_1_38_0_0_1	1_1_38_0_0_1_0	1_1_38_0_0_1_0_0	1_1_38_0_0_1_0_0_0	Guinea-Bissau	08_590_00134	2007
	30	31995	1_1_38_0_0_0_0_0_0_0_0	1_1_38_0_0_0_0_0_0_0	1	1_1	1_1_38	1_1_38_0	1_1_38_0_0	1_1_38_0_0_0	1_1_38_0_0_0_0	1_1_38_0_0_0_0_0	1_1_38_0_0_0_0_0_0	Guinea-Bissau	08_590_00135	2007
	31	31996	0_9_0_3_0_0_0_0_0_0_0	0_9_0_3_0_0_0_0_0_0	0	0_9	0_9_0	0_9_0_3	0_9_0_3_0	0_9_0_3_0_0	0_9_0_3_0_0_0	0_9_0_3_0_0_0_0	0_9_0_3_0_0_0_0_0	Guinea-Bissau	08_590_00136	2007
	32	31997	0_9_0_1_0_0_0_0_0_0_0	0_9_0_1_0_0_0_0_0_0	0	0_9	0_9_0	0_9_0_1	0_9_0_1_0	0_9_0_1_0_0	0_9_0_1_0_0_0	0_9_0_1_0_0_0_0	0_9_0_1_0_0_0_0_0	Guinea-Bissau	08_590_00141	2007
	33	31998	15_0_0_0_1_0_0_0_0_0_0	15_0_0_0_1_0_0_0_0_0	15	15_0	15_0_0	15_0_0_0	15_0_0_0_1	15_0_0_0_1_0	15_0_0_0_1_0_0	15_0_0_0_1_0_0_0	15_0_0_0_1_0_0_0_0	Guinea-Bissau	08_590_00142	2007
	34	31999	1_1_36_0_0_0_0_0_0_0_0	1_1_36_0_0_0_0_0_0_0	1	1_1	1_1_36	1_1_36_0	1_1_36_0_0	1_1_36_0_0_0	1_1_36_0_0_0_0	1_1_36_0_0_0_0_0	1_1_36_0_0_0_0_0_0	Guinea-Bissau	08_590_00143	2007
	35	32000	8_0_0_0_0_0_0_0_0_0_0	8_0_0_0_0_0_0_0_0_0	8	8_0	8_0_0	8_0_0_0	8_0_0_0_0	8_0_0_0_0_0	8_0_0_0_0_0_0	8_0_0_0_0_0_0_0	8_0_0_0_0_0_0_0_0	Guinea-Bissau	08_590_00144	2007
	36	32001	11_0_1_1_0_0_0_0_0_0_0	11_0_1_1_0_0_0_0_0_0	11	11_0	11_0_1	11_0_1_1	11_0_1_1_0	11_0_1_1_0_0	11_0_1_1_0_0_0	11_0_1_1_0_0_0_0	11_0_1_1_0_0_0_0_0	Guinea-Bissau	08_590_00145	2007
	37	32002	0_9_0_2_0_0_0_0_0_0_0	0_9_0_2_0_0_0_0_0_0	0	0_9	0_9_0	0_9_0_2	0_9_0_2_0	0_9_0_2_0_0	0_9_0_2_0_0_0	0_9_0_2_0_0_0_0	0_9_0_2_0_0_0_0_0	Guinea-Bissau	08_590_00146	2007
	38	32007	1_1_36_0_1_0_0_0_0_0_0	1_1_36_0_1_0_0_0_0_0	1	1_1	1_1_36	1_1_36_0	1_1_36_0_1	1_1_36_0_1_0	1_1_36_0_1_0_0	1_1_36_0_1_0_0_0	1_1_36_0_1_0_0_0_0	Guinea-Bissau	08_590_00153	2007
	39	32008	1_1_17_0_1_2_0_0_0_0_0	1_1_17_0_1_2_0_0_0_0	1	1_1	1_1_17	1_1_17_0	1_1_17_0_1	1_1_17_0_1_2	1_1_17_0_1_2_0	1_1_17_0_1_2_0_0	1_1_17_0_1_2_0_0_0	Guinea-Bissau	08_590_00154	2007
	40	32009	1_1_17_1_0_0_0_0_0_0_0	1_1_17_1_0_0_0_0_0_0	1	1_1	1_1_17	1_1_17_1	1_1_17_1_0	1_1_17_1_0_0	1_1_17_1_0_0_0	1_1_17_1_0_0_0_0	1_1_17_1_0_0_0_0_0	Guinea-Bissau	08_590_00156	2007
	41	32010	1_1_27_3_0_0_0_0_0_0_0	1_1_27_3_0_0_0_0_0_0	1	1_1	1_1_27	1_1_27_3	1_1_27_3_0	1_1_27_3_0_0	1_1_27_3_0_0_0	1_1_27_3_0_0_0_0	1_1_27_3_0_0_0_0_0	Guinea-Bissau	08_590_00157	2007
	42	32011	8_0_0_0_1_0_0_0_0_0_0	8_0_0_0_1_0_0_0_0_0	8	8_0	8_0_0	8_0_0_0	8_0_0_0_1	8_0_0_0_1_0	8_0_0_0_1_0_0	8_0_0_0_1_0_0_0	8_0_0_0_1_0_0_0_0	Guinea-Bissau	08_590_00138_pg_r	2007
	43	36238	0_16_0_1_12_0_0_0_0_0_0	0_16_0_1_12_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_12	0_16_0_1_12_0	0_16_0_1_12_0_0	0_16_0_1_12_0_0_0	0_16_0_1_12_0_0_0_0	Kenya	51212	2011
	44	36239	1_1_11_1_0_0_0_0_0_0_0	1_1_11_1_0_0_0_0_0_0	1	1_1	1_1_11	1_1_11_1	1_1_11_1_0	1_1_11_1_0_0	1_1_11_1_0_0_0	1_1_11_1_0_0_0_0	1_1_11_1_0_0_0_0_0	Kenya	T004	
	45	36240	0_0_47_5_13_0_0_0_0_0_0	0_0_47_5_13_0_0_0_0_0	0	0_0	0_0_47	0_0_47_5	0_0_47_5_13	0_0_47_5_13_0	0_0_47_5_13_0_0	0_0_47_5_13_0_0_0	0_0_47_5_13_0_0_0_0	Kenya	52262	2012
	46	36241	0_18_6_0_0_0_0_0_0_0_0	0_18_6_0_0_0_0_0_0_0	0	0_18	0_18_6	0_18_6_0	0_18_6_0_0	0_18_6_0_0_0	0_18_6_0_0_0_0	0_18_6_0_0_0_0_0	0_18_6_0_0_0_0_0_0	Kenya	T006	2013
	47	36242	0_0_33_46_3_0_0_0_0_0_0	0_0_33_46_3_0_0_0_0_0	0	0_0	0_0_33	0_0_33_46	0_0_33_46_3	0_0_33_46_3_0	0_0_33_46_3_0_0	0_0_33_46_3_0_0_0	0_0_33_46_3_0_0_0_0	Kenya	T007	
	48	36243	0_16_0_1_5_0_0_0_0_0_0	0_16_0_1_5_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_5	0_16_0_1_5_0	0_16_0_1_5_0_0	0_16_0_1_5_0_0_0	0_16_0_1_5_0_0_0_0	Kenya	57547	2012
	49	36244	0_16_0_2_2_2_0_0_0_0_0	0_16_0_2_2_2_0_0_0_0	0	0_16	0_16_0	0_16_0_2	0_16_0_2_2	0_16_0_2_2_2	0_16_0_2_2_2_0	0_16_0_2_2_2_0_0	0_16_0_2_2_2_0_0_0	Kenya	56873	2012
	50	36245	0_0_47_9_0_1_0_0_0_0_0	0_0_47_9_0_1_0_0_0_0	0	0_0	0_0_47	0_0_47_9	0_0_47_9_0	0_0_47_9_0_1	0_0_47_9_0_1_0	0_0_47_9_0_1_0_0	0_0_47_9_0_1_0_0_0	Kenya	44568	2010
	51	36246	0_16_0_1_0_0_0_0_0_0_0	0_16_0_1_0_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_0	0_16_0_1_0_0	0_16_0_1_0_0_0	0_16_0_1_0_0_0_0	0_16_0_1_0_0_0_0_0	Kenya	61467	2013
	52	36247	0_16_4_0_1_3_0_0_1_0_0	0_16_4_0_1_3_0_0_1_0	0	0_16	0_16_4	0_16_4_0	0_16_4_0_1	0_16_4_0_1_3	0_16_4_0_1_3_0	0_16_4_0_1_3_0_0	0_16_4_0_1_3_0_0_1	Kenya	62017	2013
	53	36248	0_16_0_2_0_0_0_0_0_0_0	0_16_0_2_0_0_0_0_0_0	0	0_16	0_16_0	0_16_0_2	0_16_0_2_0	0_16_0_2_0_0	0_16_0_2_0_0_0	0_16_0_2_0_0_0_0	0_16_0_2_0_0_0_0_0	Kenya	43305	2010
	54	36249	0_16_0_1_4_0_0_0_0_0_0	0_16_0_1_4_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_4	0_16_0_1_4_0	0_16_0_1_4_0_0	0_16_0_1_4_0_0_0	0_16_0_1_4_0_0_0_0	Kenya	51451	2011
	55	36250	0_0_33_46_9_0_0_0_0_0_0	0_0_33_46_9_0_0_0_0_0	0	0_0	0_0_33	0_0_33_46	0_0_33_46_9	0_0_33_46_9_0	0_0_33_46_9_0_0	0_0_33_46_9_0_0_0	0_0_33_46_9_0_0_0_0	Kenya	58767	2012
	56	36251	0_2_55_0_0_0_0_0_0_0_0	0_2_55_0_0_0_0_0_0_0	0	0_2	0_2_55	0_2_55_0	0_2_55_0_0	0_2_55_0_0_0	0_2_55_0_0_0_0	0_2_55_0_0_0_0_0	0_2_55_0_0_0_0_0_0	Kenya	63179	2013
	57	36252	1_1_11_0_0_0_0_0_0_0_0	1_1_11_0_0_0_0_0_0_0	1	1_1	1_1_11	1_1_11_0	1_1_11_0_0	1_1_11_0_0_0	1_1_11_0_0_0_0	1_1_11_0_0_0_0_0	1_1_11_0_0_0_0_0_0	Kenya	T032	
	58	36253	0_16_0_1_9_0_0_0_0_0_0	0_16_0_1_9_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_9	0_16_0_1_9_0	0_16_0_1_9_0_0	0_16_0_1_9_0_0_0	0_16_0_1_9_0_0_0_0	Kenya	61450	2013
	59	36254	0_0_33_46_6_0_0_0_0_0_0	0_0_33_46_6_0_0_0_0_0	0	0_0	0_0_33	0_0_33_46	0_0_33_46_6	0_0_33_46_6_0	0_0_33_46_6_0_0	0_0_33_46_6_0_0_0	0_0_33_46_6_0_0_0_0	Kenya	T034	
	60	36255	0_16_0_2_2_1_0_0_0_1_0	0_16_0_2_2_1_0_0_0_1	0	0_16	0_16_0	0_16_0_2	0_16_0_2_2	0_16_0_2_2_1	0_16_0_2_2_1_0	0_16_0_2_2_1_0_0	0_16_0_2_2_1_0_0_0	Kenya	45453	2010
	61	36256	0_16_0_1_0_2_0_1_0_0_0	0_16_0_1_0_2_0_1_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_0	0_16_0_1_0_2	0_16_0_1_0_2_0	0_16_0_1_0_2_0_1	0_16_0_1_0_2_0_1_0	Kenya	45676	2010
	62	36257	11_0_2_2_0_0_0_0_0_0_0	11_0_2_2_0_0_0_0_0_0	11	11_0	11_0_2	11_0_2_2	11_0_2_2_0	11_0_2_2_0_0	11_0_2_2_0_0_0	11_0_2_2_0_0_0_0	11_0_2_2_0_0_0_0_0	Kenya	51960	2012
	63	36258	0_16_0_1_4_1_0_0_0_0_0	0_16_0_1_4_1_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_4	0_16_0_1_4_1	0_16_0_1_4_1_0	0_16_0_1_4_1_0_0	0_16_0_1_4_1_0_0_0	Kenya	T041	
	64	36259	0_16_0_1_0_3_0_0_0_0_0	0_16_0_1_0_3_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_0	0_16_0_1_0_3	0_16_0_1_0_3_0	0_16_0_1_0_3_0_0	0_16_0_1_0_3_0_0_0	Kenya	61580	2013
	65	36260												Kenya	T047	
	66	36261												Kenya	48871	2011
	67	36262	0_18_6_1_0_0_0_0_0_1_0	0_18_6_1_0_0_0_0_0_1	0	0_18	0_18_6	0_18_6_1	0_18_6_1_0	0_18_6_1_0_0	0_18_6_1_0_0_0	0_18_6_1_0_0_0_0	0_18_6_1_0_0_0_0_0	Kenya	T049	
	68	36263	0_16_0_2_1_0_0_0_0_0_0	0_16_0_2_1_0_0_0_0_0	0	0_16	0_16_0	0_16_0_2	0_16_0_2_1	0_16_0_2_1_0	0_16_0_2_1_0_0	0_16_0_2_1_0_0_0	0_16_0_2_1_0_0_0_0	Kenya	48501	2011
	69	36264	0_18_6_1_0_0_0_0_0_1_0	0_18_6_1_0_0_0_0_0_1	0	0_18	0_18_6	0_18_6_1	0_18_6_1_0	0_18_6_1_0_0	0_18_6_1_0_0_0	0_18_6_1_0_0_0_0	0_18_6_1_0_0_0_0_0	Kenya	T052	
	70	36265	0_16_0_1_8_0_0_0_0_0_0	0_16_0_1_8_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_8	0_16_0_1_8_0	0_16_0_1_8_0_0	0_16_0_1_8_0_0_0	0_16_0_1_8_0_0_0_0	Kenya	T053	
	71	36266	0_16_0_3_0_0_0_0_0_0_0	0_16_0_3_0_0_0_0_0_0	0	0_16	0_16_0	0_16_0_3	0_16_0_3_0	0_16_0_3_0_0	0_16_0_3_0_0_0	0_16_0_3_0_0_0_0	0_16_0_3_0_0_0_0_0	Kenya	60096	2012
	72	36267	0_0_47_5_11_0_0_1_0_0_0	0_0_47_5_11_0_0_1_0_0	0	0_0	0_0_47	0_0_47_5	0_0_47_5_11	0_0_47_5_11_0	0_0_47_5_11_0_0	0_0_47_5_11_0_0_1	0_0_47_5_11_0_0_1_0	Kenya	55496	2012
	73	36268	0_18_6_0_0_0_0_0_0_1_0	0_18_6_0_0_0_0_0_0_1	0	0_18	0_18_6	0_18_6_0	0_18_6_0_0	0_18_6_0_0_0	0_18_6_0_0_0_0	0_18_6_0_0_0_0_0	0_18_6_0_0_0_0_0_0	Kenya	T060	2013
	74	36269	0_16_0_6_0_0_0_0_0_0_0	0_16_0_6_0_0_0_0_0_0	0	0_16	0_16_0	0_16_0_6	0_16_0_6_0	0_16_0_6_0_0	0_16_0_6_0_0_0	0_16_0_6_0_0_0_0	0_16_0_6_0_0_0_0_0	Kenya	52263	2012
	75	36270	0_0_36_0_1_0_0_0_0_0_0	0_0_36_0_1_0_0_0_0_0	0	0_0	0_0_36	0_0_36_0	0_0_36_0_1	0_0_36_0_1_0	0_0_36_0_1_0_0	0_0_36_0_1_0_0_0	0_0_36_0_1_0_0_0_0	Kenya	59688	2012
	76	36271	0_16_1_2_0_0_0_0_0_0_0	0_16_1_2_0_0_0_0_0_0	0	0_16	0_16_1	0_16_1_2	0_16_1_2_0	0_16_1_2_0_0	0_16_1_2_0_0_0	0_16_1_2_0_0_0_0	0_16_1_2_0_0_0_0_0	Kenya	50659	2011
	77	36272	0_16_0_1_15_0_0_0_0_0_0	0_16_0_1_15_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_15	0_16_0_1_15_0	0_16_0_1_15_0_0	0_16_0_1_15_0_0_0	0_16_0_1_15_0_0_0_0	Kenya	T064	
	78	36273	0_16_0_6_0_0_0_0_0_1_0	0_16_0_6_0_0_0_0_0_1	0	0_16	0_16_0	0_16_0_6	0_16_0_6_0	0_16_0_6_0_0	0_16_0_6_0_0_0	0_16_0_6_0_0_0_0	0_16_0_6_0_0_0_0_0	Kenya	55798	2012
	79	36274	0_16_4_0_5_0_0_0_0_0_0	0_16_4_0_5_0_0_0_0_0	0	0_16	0_16_4	0_16_4_0	0_16_4_0_5	0_16_4_0_5_0	0_16_4_0_5_0_0	0_16_4_0_5_0_0_0	0_16_4_0_5_0_0_0_0	Kenya	63518	2013
	80	36275	0_16_0_3_0_1_0_0_0_0_0	0_16_0_3_0_1_0_0_0_0	0	0_16	0_16_0	0_16_0_3	0_16_0_3_0	0_16_0_3_0_1	0_16_0_3_0_1_0	0_16_0_3_0_1_0_0	0_16_0_3_0_1_0_0_0	Kenya	51468	2011
	81	36276	0_0_47_5_7_1_0_0_0_0_0	0_0_47_5_7_1_0_0_0_0	0	0_0	0_0_47	0_0_47_5	0_0_47_5_7	0_0_47_5_7_1	0_0_47_5_7_1_0	0_0_47_5_7_1_0_0	0_0_47_5_7_1_0_0_0	Kenya	51645	2011
	82	36277	0_16_4_0_1_3_0_0_0_0_0	0_16_4_0_1_3_0_0_0_0	0	0_16	0_16_4	0_16_4_0	0_16_4_0_1	0_16_4_0_1_3	0_16_4_0_1_3_0	0_16_4_0_1_3_0_0	0_16_4_0_1_3_0_0_0	Kenya	59012	2012
	83	36278	0_0_47_10_1_1_0_0_0_0_0	0_0_47_10_1_1_0_0_0_0	0	0_0	0_0_47	0_0_47_10	0_0_47_10_1	0_0_47_10_1_1	0_0_47_10_1_1_0	0_0_47_10_1_1_0_0	0_0_47_10_1_1_0_0_0	Kenya	T071	
	84	36279	0_0_47_10_1_1_0_0_0_0_0	0_0_47_10_1_1_0_0_0_0	0	0_0	0_0_47	0_0_47_10	0_0_47_10_1	0_0_47_10_1_1	0_0_47_10_1_1_0	0_0_47_10_1_1_0_0	0_0_47_10_1_1_0_0_0	Kenya	60243	2013
	85	36280	0_16_0_1_8_0_0_0_0_1_0	0_16_0_1_8_0_0_0_0_1	0	0_16	0_16_0	0_16_0_1	0_16_0_1_8	0_16_0_1_8_0	0_16_0_1_8_0_0	0_16_0_1_8_0_0_0	0_16_0_1_8_0_0_0_0	Kenya	47956	2011
	86	36281	0_16_0_1_4_0_0_0_1_0_0	0_16_0_1_4_0_0_0_1_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_4	0_16_0_1_4_0	0_16_0_1_4_0_0	0_16_0_1_4_0_0_0	0_16_0_1_4_0_0_0_1	Kenya	47686	2011
	87	36282	0_12_7_4_0_0_0_0_0_2_0	0_12_7_4_0_0_0_0_0_2	0	0_12	0_12_7	0_12_7_4	0_12_7_4_0	0_12_7_4_0_0	0_12_7_4_0_0_0	0_12_7_4_0_0_0_0	0_12_7_4_0_0_0_0_0	Kenya	45029	2010
	88	36283	0_16_0_2_2_1_0_0_0_3_0	0_16_0_2_2_1_0_0_0_3	0	0_16	0_16_0	0_16_0_2	0_16_0_2_2	0_16_0_2_2_1	0_16_0_2_2_1_0	0_16_0_2_2_1_0_0	0_16_0_2_2_1_0_0_0	Kenya	47147	2011
	89	36284	0_16_0_1_0_2_0_1_0_0_0	0_16_0_1_0_2_0_1_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_0	0_16_0_1_0_2	0_16_0_1_0_2_0	0_16_0_1_0_2_0_1	0_16_0_1_0_2_0_1_0	Kenya	44593	2010
	90	36285	0_0_47_5_11_1_0_0_0_0_0	0_0_47_5_11_1_0_0_0_0	0	0_0	0_0_47	0_0_47_5	0_0_47_5_11	0_0_47_5_11_1	0_0_47_5_11_1_0	0_0_47_5_11_1_0_0	0_0_47_5_11_1_0_0_0	Kenya	43346	2010
